quantidade de observações,dimensão,expoente fuzzy,Hullermeier 0,Hullermeier 1,Hullermeier 2,Média do Indice de Hullermeier
10,4,1.1,0.4444446802494742422300059171289238570269364921747556928837201034638332842720438262404391708028331689144724669771919707160338835204280566261650492087086819230928901290241465466145892073686482299471817047510538239430628263377066964496437637805876995477351098735123329142509370770688856016751569227834851666775238634978916025587644811868466134518098034983681098328279291719638140855583812124819846444896,0.466666379492424408783337542526411117883527073707713981213449206527735569258449107982489413942981712683357995286111471157749602705711452512731961176452062343386434405810127975708922728742469777847942005647078357530728613965915869901993859368271374201115788326898021917549922448126065022114332639130746051845913728786783070369026238817383028076020678348643050554275711384278925597316528437627063201143,0.4666647731582794733277027871820647780235918461723368294581178020635957407167670246900054718963747147906508823704240587880306901097586691050133136125902009613629053468085845271914837802664449024653364115291197477882743696589561427906237413777168207762803721498340327422259399240406015476889063151148733742052244809566010732173095482049472958094932640287869600357367897873825349894736481882924802328651,0.4592586109667260414470154156124665843113518040182688345184290373517215314157533196376446855473965321294937815445758335539380587786327260813034413325836484092807432938809530165049985721258543034201533739757506430873552699875262363807537881755252981750437567834147958580089331497451840571594652923430348642428873577470919153817000894030589791124412486252660401409468101145417582241161859461338426928326
10,4,8.325,0.7709800877028323271630011950267450746169395516538768824242940409276368010531462759515519635037697463509102267241401858014236541259450289948765598014371099709839413739964140017536365938243994541335458303284841374459700247423629121655852323715007354709793314793694011378529952549608947742461060202960087846291093206571902489958950985488777081702442490939469057537065642669617674450231659521754226426108,0.818747846916492189175184543603622872880558192106326829868703899922462670572636820012308799778794511353940364125432593819378227074002800543028848902888565631693537167664744130920435843132123840161938466974016762422860533195656699817745539510873434555579926763979992034345556016030559127631703931604963801492264756068036760433887430827268810801822326873964749075062628941469536986838467911345179061058,0.7969499374086562360877615027303800491067119570353482561423700665652066439789512590000021566268902285293291410846154831619974779068183213948915078365019293696899806896335573622628141734005494741922661443207735719382677096171249071341968842622660244943145482802204026416750862731286760633087439433319726955860012760101714699196798408415578240777896068125932483269778571690248624833185809804817326215282,0.7955592906759935841419824137869159988680699002651839894784560024717687052015781183212876399698181620780599106447294209275997863689220503109323055136092016574558197437649051649789622034523575894959168138744248239356994225183815063725092187148800648402912688411899319379578791813733766550621846317443150939024584509117994931164874567392347810166187275935016343852490167924853889717267382813341114417323
10,4,15.55,0.8210200589466996406784408521885013863350357690761541578094973652929422144062554004086302138862095395857828515962018517620539780130078985247073794178851588292160914698282277769151022282453050073158161363913807013224339403861887109105665278057743507492296836144973872069581584674825807749531452911192126947559118834640598383730606979050786282685082713983966046758219888040722434250070564631778153888623,0.8111315191412256056404527816705495119503891178982885789772942588201162211477477402983610432260287715166282216662125444488078567323175443609566333530875152043964336102233064092628685188403745102327473999641061532366651321583711129492610495346925376329831561950070287807559575824834245713304748396451425853333613643319183036767041532890118474130611638379463702360587492334688185139814820247342476582089,0.8250572414384040274906262879376789293078947759198955703281452173315247848342567193493262372700177690276966242146681781924433464939909859852852289773977244934775727441275791743215372777799826836304790297762778958393276100157404748881502299198369806705623743873696014403671551673175433537608381534553561350029516665445374424596888760985191052417183865735078713876376840066722460489941792645867519888174,0.8190696065087764246031733072655766091977732209647794357049789471481944067960866200187724981274186933767025658256941914677683937464388096236497472494567995090300326080597044534998360082885540670596808553772549167994755608534334329159926024201012896842584047322913391426937570724278495666814860947399038050307416381135051948364845757642031936410959406032836154331728073480711026626609059174996050119629
10,4,22.775,0.8217034419359934424114052491615728923281064423968709730577201817606413708394895905588842478365123665549569467085292837015492003218410539831181387631956939117400385013092159453200276973613016711556125484329307212295332997371299692198369144868010376724798902827790697482208879638285666712884211976762142892974090142150475161536858898953792394754099605049737648970815889285143226721633369448057977488691,0.8173006136983349989165131740123811499256577100211536695543036927223533475152288261999716276476315342886630673896077324537830156878053188510449325153868074137732572064145840548912233608288993676854668745529857533992326428835359228180968457646032555328897961859016774672758604983864369705068280043074140108774210581170117423164988871558188096034938220226985402180275267365245771417360034921741999089199,0.8265473419070595277595204788972373991702014826708973688996494848457882990593605970091866572138149142745612346157356553571789010881789397750260218724180385653499846072501221515811862204189275424508067085009447946895550355697938639728690187184521446455146213551000445820578930275238584551198299052101455787750973451742443510017175463215980949854398103938573540533328517803820202057584905080194568880895,0.8218504658471293230291463006903971471413218783629740038372244531095943391380263379226808442326529383727270829046242238375037056992751042030630310503335132969544267716579740505974790928697095270972953771622870897727736593968199186702675929899521459502947692745935972658515471632462873656383597023979246263166424725021012031573007744575987146881145309738432197228139891484736400065526103149998181819595
10,4,30.0,0.888297335477566968868062803056423460712858779203284307522652805559878769379986140015325549194221600847532066770724957140325237194671339557892143056392732108472752985246253949593561662552793806855910957293062355162941965956018460303727187781285538781536520270850092743989345751362954356492653886121268939365414420632230764698917580512010425763794752876008907924500857835832674255878120031322830523539,0.8934162398893197067622694674945268492036625039717222191150550701716913869560516531489138851626441100182662238717425827075395479736150642033955518354922335795374061514208346070558485364649844773644370529177191923378877592896999819957478264167841493525315480835345621733047236089434942662157383964522703386284912191010366132667274280827080761521000111372505065624434130120783818527143857318427759609168,0.8281034362726698802429639274452601820994938520050662256819670239158324527776024963101390853968118866882312984969976448086479855587604185524513383268248205404989850619993984480540940615878567030371501538061624323578503055026128025482006016750301703439955300500142225821369237951946579125174945923600772749554834991782696930731645371527877132201718913006133460601393405518758759659610780240843199419619,0.8699390038798521852910987326654034973386717117266909174398916332158008697045467631581261732512258658513431963798217282188375902423489407712463444062365954095030480662221623349011680868685449957524993880056479932862266769161104149492252052910332861593545328014662924998103310518337021784086289583112055176497963796371790236796031819158354050453555517712909201823612037999289773581845279290833088088059
10,8,1.1,0.4666229170566372524512581018070154216732064657664226961499149593980661562338182338833086349403077970209315700334273888924072028693118181170346871221371094847274036006496847742548590329063740568325537529568360583931392084578795908584224148535622484420489013290724953741012516572938214430059596514698750277471274596881005910739651698823119880821585658231373308467231164657262860099855853053025177437157,0.4666663920686150705525738810584117901381528128835525334636536493802317373050304535165027355066433418164160404566845911466546134132976891892430160650614718027574220639995355420349761772355531590732792510193922395481316345194258955331979337066880945716688375105316428269743808745626222362848965114445205261564898661831430707085030622627270195331472087270176788934950152325150378098713038280359414110664,0.4674289941246361024469872263347897403738522960791058541519654598648343441076078270329918572816304096582093460325311965212875341548347558475469845563872906962159434745636690277881496167483040290634130794859056277272976869477011070322689042304439342471445441596988324020919248652738235944992208656929807151916786452531239489768933695803157485499277703765136245961897266202315613215340081044707733755117,0.4669061010832961418169397364000723173950705249096936945885113562143774125488188381442677425761938494985189855075477255201164501458147543846082292478619573279002563797376297813593282756300770816564153611540446418895228433083355311412964175968980924202874276664343235343891857990434224245966923428691254230317653237081225369197872005751182520550778483088895447788026194394909617137969657459364108434313
10,8,8.325,0.869562993393213927282636846508270644254990199851751921281050325704011474172744543214906360342169349614449615494552086374548931611217768907751862072851802764317718268313069883572366254295352460746025302297548808290533670716728525751752233048082482130282271888001915146272821041041088159217875578366379251403697942894242104630129951985016957529619000515184355400815598737123929565920763658008311745604,0.8677329284846713681340297325587870196912603575206194660012653172280010781461441362306857234912296652929383389855085780068401490658905089256350465640417159353862005031713564085108228955439283424533835887593053633790918174228955544833040605329867699565861419402068884976045560448106497606983712612068325821734376076546492822270653464415256645719499173824392512969999741160703183942606371407506139919515,0.9260019838993025784877690260836466379043238355655273803856623724052450638084573399113719065903786246382112972329335235228094647788669072548340075160981750853959387979295113522045581565950798135645799038794745622230437984160033013140286087305445159950919745679436581513833312597110793066184507996863935897308702018584510762094153229072999681932979446419161276121677860201237513784333368463334408014155,0.8877659685923959579681452017169014339501914643126329225559926717790858720424486731189879968079258798485330839043313959680661818186583950294069720509972312616999525231379792147625824354781202055879962649787762446308897621852091271830283007705379226939867961320508205984202361151876057421782325464198684744360019174691141543555368737779475300982889541798465781033277862911059997795382458816974555129903
10,8,15.55,0.9868245422139806814324531439792273373765598395842308869964347136465419502103381959513174895922644140226092131980927472740701452594174525768968763915816830345029378165684653104610398389470554923529566151792037827472515835233765908030609955922095002136097066044436509136943755608040830749079912976833777211573788171524906809318514043393339564698199165068212264044482435132410267311585222535167054488206,0.8874078520856106002764090557346675307233719595789548981167410181562240510721399854210477886259636564507839719058893449668872768942466139099595205327166698915753534636613204552911875472276177495164486816629559294380616488551581989909564327940623189302959573405692351494784960967788830166671957107506118953877295682779758884233058618524261107965529599319214889092805652630780025274809051724927179924495,0.9725285891354898626728906163692780402012765122087478132038322748110695209606918535282025902753960534498009940085023951205349728839075439875680012060340241592396332656703453433195885984171112493266763357205453353817413767677019081448446645790980852874756387210777386905680166425079881483598049224574723513710000793173289465829764154435800435849826499273537070534676144232457949577039558405319127171055,0.9489203278116937147939176053610576361004027704573111994390026688712785074143900116335226228312080413077313930374948291204974650125238701581414660434441256951059748486333770363572719948639281637320272108542350158556848697154122326462873643217899681437937675553635415845802961000303180799783306436304873226387028215825985053127112272117800369504518421220321407890654743998549414054477944221804453861252
10,8,22.775,0.9907124999952717397405306971027156217621500372946182624600816958242804542588681180431070384833548522248802803651520136285250687566465143588946471262583033371955838945885260002635342513080336044250353006686037377639976762494120300633248153006312504945348254758363635766027255638210514448731991564789762108508092436126110888878279894669832139770349045621442859238016845571807928514341946436556421969007,0.9886981655285167877567877649908480183226256672382209096701409517673833632607350361486415044420781534534958776806691338929878364533258000209202546325039887246746404018668529172892417684604054024680361762881324035425720646908210444610632378876412304650863006878709347604989644620786331317302315832290178627011181265619848302440623156618179736514125466745385924692489097669889626656475755242986485898067,0.9827207720385192484153299947068455030483808222332761083692095525776783106454069004920870370994598104712595444021448213577032381524800227858184609853689912666368334839947876505798156391001489083281932644495691084353955430470488134418692946907793038717220953841997755502040349668350964745316566116416424563216415735594345357487019917403465544745796690098867987512205417135002775724284884162568739065992,0.9873771458541025919708828189334697143777188422553717601664774000564473760550033515612785266749642720498785674826553229597387144541507790552111209147104277761690192601500555227108638862895293050737549138021017499139884279957606293220857826263505949437810738493023579624352416642449270170450291171165455099578563145780101516268640989563825807010090400821898923814237120125566776965034195280703882311022
10,8,30.0,0.9923978022076274836470753617861118063201045912725380077963190917665592158612616685324981764169616357404804290562761183240409382223646993232284251107487288562667665118982779377106169649852777215357312933873969769387952214468564430810833593553981772220573736683846258448144411230022128795569545788125131134514154936265434789182591305709622619417972606254305350095075234694797290653531256883885224187644,0.990148619744956752684494153278637423427273497073423068461318863512677553257402626959068436939417188438825750413520839351428175377823019318276353762437610840444078876277392017091691533476022603381109340085975636490098637744641986387090293776675748599558892676565468876648423213749478484644427480120635390684355710975276000531144838250610097004561195531198716045283381240031254282971208282861375910439,0.9863423450859371726465812958854514671233922443577944983867701258917508551445072095768846271525040897491096315589867063467527264210099022735120102428499745570561963010101834318753108707232549293353914489755985613365696622900701175658159102024656559259230586945266148740177128074508374931736124988121628284758315114702157251269062042796528424042337566196371057050149702374287576179113351540374295914183,0.9896295890128404696593836036500668989569234442345851915481360270569958747543905016894837468362943046428052703429278880074072800070658736383389297053454380845890138963952844622258731230615184180840773608163237249218211738271895156779965211115131939158464416798255698651601923814008429524583315192484371108705342386906784015254367243670750671168640709254221189199352916489799136554118897084291093068739
