iteração,dimensão,mu,quantidade de observações,quantidade de agrupamentos,tempo de execução (s)
1,2,1.1,10,2,0.145936544999131
2,2,1.2100000000000002,10,2,0.0015484079995076172
3,2,1.3310000000000004,10,2,0.00294831700011855
4,2,1.4641000000000004,10,2,0.002708212996367365
5,2,1.6105100000000006,10,2,0.0027424680010881275
6,2,1.7715610000000008,10,2,0.002708536005229689
7,2,1.9487171000000012,10,2,0.0027505939942784607
8,2,2.1435888100000016,10,2,0.0027192639972781762
9,2,2.357947691000002,10,2,0.002750535000814125
10,2,2.5937424601000023,10,2,0.002738561001024209
11,2,2.8531167061100025,10,2,0.002767907004454173
12,2,3.138428376721003,10,2,0.0027567249999265186
13,2,3.452271214393104,10,2,0.002639764999912586
14,2,3.7974983358324144,10,2,0.00269315699551953
15,2,4.177248169415656,10,2,0.0027262580042588525
16,2,4.594972986357222,10,2,0.002693926995561924
17,2,5.054470284992945,10,2,0.0026715860003605485
18,2,5.55991731349224,10,2,0.002660132995515596
19,2,6.115909044841464,10,2,0.0026955689972965047
20,2,6.727499949325611,10,2,0.002828511002007872
21,2,7.400249944258173,10,2,0.0027617150044534355
22,2,8.14027493868399,10,2,0.0026776869999594055
23,2,8.95430243255239,10,2,0.0026382319992990233
24,2,9.84973267580763,10,2,0.002639224003360141
25,2,10.834705943388395,10,2,0.0027008600009139627
26,2,11.918176537727234,10,2,0.0026550330003374256
27,2,13.10999419149996,10,2,0.0026884370017796755
28,2,14.420993610649957,10,2,0.002686895000806544
29,2,15.863092971714952,10,2,0.0028084329969715327
30,2,17.44940226888645,10,2,0.002666606000275351
31,2,19.194342495775096,10,2,0.002732920998823829
32,2,21.113776745352606,10,2,0.002698144999158103
33,2,23.22515441988787,10,2,0.0026676870038500056
34,2,25.54766986187666,10,2,0.002798194000206422
35,2,28.10243684806433,10,2,0.0026812430005520582
1,2,1.1,10,4,0.0016134199977386743
2,2,1.2100000000000002,10,4,0.002596453996375203
3,2,1.3310000000000004,10,4,0.007279971003299579
4,2,1.4641000000000004,10,4,0.00799265399837168
5,2,1.6105100000000006,10,4,0.008095787998172455
6,2,1.7715610000000008,10,4,0.007883840000431519
7,2,1.9487171000000012,10,4,0.008036184997763485
8,2,2.1435888100000016,10,4,0.007419113004289102
9,2,2.357947691000002,10,4,0.00786759900074685
10,2,2.5937424601000023,10,4,0.007914998001069762
11,2,2.8531167061100025,10,4,0.00807357499434147
12,2,3.138428376721003,10,4,0.008145182000589557
13,2,3.452271214393104,10,4,0.007933731998491567
14,2,3.7974983358324144,10,4,0.008229630002460908
15,2,4.177248169415656,10,4,0.008102170999336522
16,2,4.594972986357222,10,4,0.008094696997432038
17,2,5.054470284992945,10,4,0.00750953199894866
18,2,5.55991731349224,10,4,0.008067625996773131
19,2,6.115909044841464,10,4,0.008273634004581254
20,2,6.727499949325611,10,4,0.007997032000275794
21,2,7.400249944258173,10,4,0.008182981000572909
22,2,8.14027493868399,10,4,0.008083756001724396
23,2,8.95430243255239,10,4,0.008058758001425304
24,2,9.84973267580763,10,4,0.008401653998589609
25,2,10.834705943388395,10,4,0.008028521995584015
26,2,11.918176537727234,10,4,0.00827979599853279
27,2,13.10999419149996,10,4,0.008430558002146427
