iteração,dimensão,mu,quantidade de observações,quantidade de agrupamentos,tempo de execução (s)
1,2,1.1,10,2,1.5551562170003308
2,2,1.2100000000000002,10,2,0.0007906540122348815
3,2,1.3310000000000004,10,2,0.0015617200115229934
4,2,1.4641000000000004,10,2,0.00229083800513763
5,2,1.6105100000000006,10,2,0.002665860010893084
6,2,1.7715610000000008,10,2,0.0025264150026487187
7,2,1.9487171000000012,10,2,0.002565549992141314
8,2,2.1435888100000016,10,2,0.002577741994173266
9,2,2.357947691000002,10,2,0.0023841749934945256
10,2,2.5937424601000023,10,2,0.0024117879947880283
11,2,2.8531167061100025,10,2,0.0025696270022308454
12,2,3.138428376721003,10,2,0.0024442989961244166
13,2,3.452271214393104,10,2,0.0024721919908188283
14,2,3.7974983358324144,10,2,0.002544129005400464
15,2,4.177248169415656,10,2,0.002584415997262113
16,2,4.594972986357222,10,2,0.002472833002684638
17,2,5.054470284992945,10,2,0.002371330003370531
18,2,5.55991731349224,10,2,0.0023835229949327186
19,2,6.115909044841464,10,2,0.0024145520001184195
20,2,6.727499949325611,10,2,0.002505885000573471
21,2,7.400249944258173,10,2,0.0025238399975933135
22,2,8.14027493868399,10,2,0.0025056360027519986
23,2,8.95430243255239,10,2,0.0025070279953069985
24,2,9.84973267580763,10,2,0.0025335090031148866
25,2,10.834705943388395,10,2,0.002510926002287306
26,2,11.918176537727234,10,2,0.002476509995176457
27,2,13.10999419149996,10,2,0.002400325989583507
28,2,14.420993610649957,10,2,0.002400655997917056
29,2,15.863092971714952,10,2,0.0024646980018587783
30,2,17.44940226888645,10,2,0.0024731439916649833
31,2,19.194342495775096,10,2,0.0024236600002041087
32,2,21.113776745352606,10,2,0.0026092320040334016
33,2,23.22515441988787,10,2,0.0025027710071299225
34,2,25.54766986187666,10,2,0.0023675629927311093
35,2,28.10243684806433,10,2,0.002460959993186407
1,2,1.1,10,4,0.0014512399939121678
2,2,1.2100000000000002,10,4,0.002295625992701389
3,2,1.3310000000000004,10,4,0.0058904439938487485
4,2,1.4641000000000004,10,4,0.007141130990930833
5,2,1.6105100000000006,10,4,0.00666735100094229
6,2,1.7715610000000008,10,4,0.00717589000123553
7,2,1.9487171000000012,10,4,0.007225102002848871
8,2,2.1435888100000016,10,4,0.006826703000115231
9,2,2.357947691000002,10,4,0.007228750007925555
10,2,2.5937424601000023,10,4,0.007390155005850829
11,2,2.8531167061100025,10,4,0.007146190997445956
12,2,3.138428376721003,10,4,0.007251142000313848
13,2,3.452271214393104,10,4,0.007342355005675927
14,2,3.7974983358324144,10,4,0.007332706998568028
15,2,4.177248169415656,10,4,0.007331202999921516
16,2,4.594972986357222,10,4,0.00746917599462904
17,2,5.054470284992945,10,4,0.0063446590065723285
18,2,5.55991731349224,10,4,0.007307929001399316
19,2,6.115909044841464,10,4,0.006853454993688501
20,2,6.727499949325611,10,4,0.007492300006560981
21,2,7.400249944258173,10,4,0.007243305997690186
22,2,8.14027493868399,10,4,0.006834548999904655
23,2,8.95430243255239,10,4,0.006672631003311835
24,2,9.84973267580763,10,4,0.007215983991045505
25,2,10.834705943388395,10,4,0.007203842993476428
26,2,11.918176537727234,10,4,0.007021805009571835
27,2,13.10999419149996,10,4,0.007176329003414139
28,2,14.420993610649957,10,4,0.007252796000102535
29,2,15.863092971714952,10,4,0.006878242013044655
30,2,17.44940226888645,10,4,0.006737855001119897
31,2,19.194342495775096,10,4,0.007255981006892398
32,2,21.113776745352606,10,4,0.00735195200832095
33,2,23.22515441988787,10,4,0.004971054004272446
34,2,25.54766986187666,10,4,0.007243507992825471
35,2,28.10243684806433,10,4,0.007336121998378076
1,2,1.1,10,6,0.004123121005250141
2,2,1.2100000000000002,10,6,0.004824898001970723
3,2,1.3310000000000004,10,6,0.0033139830047730356
4,2,1.4641000000000004,10,6,0.014004116004798561
5,2,1.6105100000000006,10,6,0.014885329990647733
6,2,1.7715610000000008,10,6,0.012128189002396539
7,2,1.9487171000000012,10,6,0.013793625999824144
8,2,2.1435888100000016,10,6,0.01372479299607221
9,2,2.357947691000002,10,6,0.013478666995069943
10,2,2.5937424601000023,10,6,0.013780498993583024
11,2,2.8531167061100025,10,6,0.013530525990063325
12,2,3.138428376721003,10,6,0.014256696013035253
13,2,3.452271214393104,10,6,0.011871007998706773
14,2,3.7974983358324144,10,6,0.013507021008990705
15,2,4.177248169415656,10,6,0.013676122995093465
16,2,4.594972986357222,10,6,0.013603511994006112
17,2,5.054470284992945,10,6,0.013668047002283856
18,2,5.55991731349224,10,6,0.014648950003902428
19,2,6.115909044841464,10,6,0.013791591001790948
20,2,6.727499949325611,10,6,0.013664550991961733
21,2,7.400249944258173,10,6,0.013500146000296809
22,2,8.14027493868399,10,6,0.01351322299160529
23,2,8.95430243255239,10,6,0.013454571002512239
24,2,9.84973267580763,10,6,0.014106078000622801
25,2,10.834705943388395,10,6,0.01382908299274277
26,2,11.918176537727234,10,6,0.01423567500023637
27,2,13.10999419149996,10,6,0.014507831991068088
28,2,14.420993610649957,10,6,0.008282644994324073
29,2,15.863092971714952,10,6,0.014865743010886945
30,2,17.44940226888645,10,6,0.0052905439952155575
31,2,19.194342495775096,10,6,0.01491242200427223
32,2,21.113776745352606,10,6,0.014492554997559637
33,2,23.22515441988787,10,6,0.014117972998064943
34,2,25.54766986187666,10,6,0.01366562100884039
35,2,28.10243684806433,10,6,0.01356524099537637
1,2,1.1,10,9,0.028058046009391546
2,2,1.2100000000000002,10,9,0.02841091800655704
3,2,1.3310000000000004,10,9,0.030684040000778623
4,2,1.4641000000000004,10,9,0.030311630995129235
5,2,1.6105100000000006,10,9,0.030780485991272144
6,2,1.7715610000000008,10,9,0.03081654199922923
7,2,1.9487171000000012,10,9,0.030611021007644013
8,2,2.1435888100000016,10,9,0.02803295900230296
9,2,2.357947691000002,10,9,0.030627693005953915
10,2,2.5937424601000023,10,9,0.03049641300458461
11,2,2.8531167061100025,10,9,0.030640990007668734
12,2,3.138428376721003,10,9,0.0299359079945134
13,2,3.452271214393104,10,9,0.030174290004651994
14,2,3.7974983358324144,10,9,0.030861680002999492
